Television,Channel,2017-2018,2018-2019,2019-2020
144.0,MAA MUSIC,0,490320,459421
145.0,MAA TV,743952,29211542,1483579
146.0,MAHA MOVIES,12680533,23334069,2971908
147.0,MAI BOLI,6850856,5620375,0
148.0,Makkal TV,2672778,1756090,616456
149.0,Manorama News,14678263,19873580,2370646
150.0,MANORANJAN MOVIE,3601128,8184888,123872
151.0,Manoranjan TV,3733120,8607670,1053865
152.0,Mantavya News,0,0,501781
153.0,MASTIII,8179633,24609258,4505146
154.0,MATHRUBHUMI NEWS,6146194,11502318,809622
155.0,MAZHAVIL MANORAMA,6800567,7300098,0
156.0,MBC TV,0,4121333,0
157.0,MEDIA ONE,1071759,4951022,0
159.0,MEGA MUSIQ,0,598349,0
160.0,Mega TV,127770,975748,0
161.0,MH One,85391,7088164,1442486
162.0,MH One Prime,1521390,11762824,2721920
163.0,MK TV,85532,709125,0
164.0,MOON TV,403617,798832,0
165.0,Movies Now,141278,381971,491281
166.0,MTV,220803,811991,0
167.0,MUNSIF TV,1484648,331110,0
168.0,Music F Fatfati,751616,1151941,0
169.0,MUSIC INDIA,293829,224317,0
170.0,N TV,21340523,38155643,1589025
171.0,NDTV 24X7,79438,1105861,1597354
172.0,NDTV India,155222,0,0
173.0,NDTV PROFIT,76974,0,0
174.0,News 1 India,0,0,217158
175.0,News 18  Assam / North East (News),0,615535,720726
176.0,News 18 Bangla,4719269,15519452,1468076
177.0,News 18 Bihar/Jharkhand,5096290,16744005,2546567
178.0,News 18 Gujarati,4806194,13154546,881425
179.0,News 18 India,23073360,35265402,27465253
180.0,News 18 Kannada,3663933,15280873,873585
181.0,News 18 Kerala (News),0,222595,30586
182.0,News 18 Lokmat,13957508,21400797,2632167
183.0,News 18 MP/Chhattisgarh,4883977,14846684,2469662
184.0,News 18 Odia,2190866,11100634,1017021
185.0,News 18 Punjab/Haryana/Himachal Pradesh,3829868,12627154,1034593
186.0,News 18 Rajasthan,6757811,16654423,4202814
187.0,News 18 Tamil Nadu (News),0,562664,315775
188.0,News 18 UP/Uttarakhand,5019566,16356140,3270054
189.0,News 18 Urdu,1638198,12198821,2024363
190.0,News 24,29087885,16323266,8668115
191.0,News 7,14263776,14799053,1437813
192.0,News 7 Tamil,0,0,775083
193.0,NEWS 9,10351047,3173286,0
194.0,News Live,15295070,18944078,2222939
195.0,NEWS NATION,34437594,69188735,13311860
196.0,News state Madhya Pradesh/ chhattisgarh,0,0,659651
197.0,NEWS STATE UTTAR PRADESH/UTTRAKHAND,16579580,18803748,4024887
198.0,NEWS TIME AASAM,3540069,4014100,0
199.0,NEWS TIME BANGLA,6140016,7795803,0
200.0,NEWS WORLD INDIA,13665345,11643347,1362853
201.0,News X,12122328,13302711,2102746
202.0,NIKELODEON,4361586,2488487,0
203.0,NORTH EAST LIVE,4833181,6450889,153164
204.0,O TV,25715598,18414953,4399778
205.0,ONKAR ONLY TRUTH,7645218,6504674,0
206.0,Orange TV,0,0,222595
207.0,OSCAR MOVIES BHOJPURI,8815330,9419536,0
208.0,PEPPERS TV,0,669633,0
209.0,Pix,290537,0,0
210.0,POGO,11146831,8401746,91661
212.0,Polimer News,0,0,1492429
213.0,prag channel,12124195,13441419,1795510
214.0,PRARTHANA,92606,1531412,0
215.0,Protidin Time,0,338433,238515
216.0,PTC Chak De,860786,1162616,0
217.0,PTC NEWS,8449786,15249997,3238374
218.0,PTC PUNJABI,9835804,11239489,2063257
219.0,PUBLIC TV,13249607,14488595,1467239
220.0,PUTHIYA THALAIMURAI TV,15425697,19662956,2025970
221.0,Raj Ditigal Plus,0,1760258,0
222.0,RAJ MUSIC KARNATAKA,1282117,1390991,235976
223.0,Raj Musix,1124134,1588489,296935
224.0,RAJ NEWS 24X7,2837565,2640477,0
225.0,Raj News Kannada,1425509,3046511,0
226.0,Raj News Telugu,63295,1043065,0
227.0,RAJ TV,2341906,1917725,631047
228.0,RAMDHENU,4420116,3200351,78900
229.0,Rang,19258587,17718034,1683355
230.0,Rengoni,0,94376,1446016
231.0,REPORTER TV,583478,184239,0
232.0,Republic TV,0,2754985,4679079
233.0,Republic TV Bharat,0,0,7160455
234.0,RPLUS,17116771,17083156,1123915
235.0,RUPASHI BANGLA,967180,1714092,47025
236.0,SAB TV,11042607,8824852,0
237.0,Sadhna Prime News,0,0,321722
238.0,SAHARA ONE,301778,294273,0
239.0,SAHARA SAMAY Bihar/Jharkhand,5750230,5554844,564927
240.0,SAHARA SAMAY MP/Chhattishgarh,10240388,2319417,96854
241.0,SAHARA SAMAY NCR/Haryana/Rajasthan/Punjab,3156698,227863,0
242.0,SAHARA SAMAY UP/Uttarakhand,9412614,2905250,24320
243.0,Sakshi TV,3395747,4077190,0
244.0,Samachar Plus Rajasthan,0,658008,368061
245.0,SAMAY,8314000,3049774,0
246.0,SANDESH NEWS,8903770,10975782,2157937
247.0,Sangeet Bangla,243375,2656595,0
248.0,SANGEET BHOJPURI,1258006,795860,0
249.0,Sangeet Marathi,0,0,348973
250.0,SANSKAR,2766920,2378571,0
251.0,SARTHAK TV,1107962,5381762,2764662
252.0,SATHIYAM TELEVISION,4286291,4570680,0
253.0,Seithigal,4537133,4462002,0
254.0,SET MAX,25002627,7573590,6703532
255.0,Sirippoli,0,1425913,0
256.0,SONIC,0,0,69072
257.0,SONY AATH,27045,0,0
258.0,SONY ENTERTAINMENT TELEVISION,28070910,8034667,0
259.0,SONY MIX,3019056,0,2617190
260.0,Sony Pal,0,3462967,13200586
261.0,SRI SANKARA TV,1532424,132877,0
262.0,STAR GOLD,10811414,3830671,193411
263.0,Star Gold 2,0,3371269,0
265.0,Star India Pvt. Ltd.-Ind-NZ ODI Series 2019,0,2886469,0
266.0,Star India Pvt. Ltd.-Ind-NZ T20 Series 2019,0,1881298,0
267.0,Star India Pvt. Ltd.-Ind-WI T20 Series 2018,0,2974166,0
268.0,Star India Pvt. Ltd.-WI-Ind Sries 2018,0,5132150,0
269.0,STAR JALSHA,6872546,7812465,1071409
270.0,STAR PLUS,50714487,55116635,44946145
271.0,Star Pravah,80542,751726,0
272.0,Star Utsav,868758,0,0
273.0,STAR VIJAY,1284073,11366044,0
274.0,STUDION,86234,0,0
275.0,SUDARSHAN NEWS,11676417,7706897,805647
276.0,SUN MUSIC,113938,901642,0
277.0,Sun News,10411889,14418313,1468020
278.0,SUN TV,37145079,43855937,10318130
279.0,Surya Movies,0,637032,0
280.0,Surya Samachar,0,260820,902941
281.0,SURYA TV,2295133,7284980,0
282.0,Suvarna,68251,5434777,0
283.0,SUVARNA NEWS,20833599,18519304,2436518
284.0,T NEWS,17075202,16950619,2770033
285.0,TAAZA TV,0,0,229647
286.0,Tarang,14633384,18578344,4737440
287.0,Tarang Music,307296,1347733,0
288.0,Tehzeeb,0,0,210743
289.0,Tez,0,1494980,0
290.0,TIMES NOW,505452,989633,0
291.0,TOLLYWOOD,42268,0,0
292.0,Total Haryana,0,407780,0
293.0,TOTAL TV,13512829,13587394,2372489
294.0,TV 100,0,0,304815
295.0,TV 5 TELUGU NEWS,11027780,21212263,2431731
296.0,TV 9 (Gujarati),8974009,16890264,3749062
297.0,TV 9 (Karnataka),12959056,25814048,3307211
298.0,TV 9 - Telugu,15525515,34948949,3304839
299.0,TV 9 Mumbai,12276675,20140002,5026407
300.0,TV5 Kannada,0,0,226985
301.0,UDAYA COMEDY,0,447961,0
302.0,Udaya Movies,777495,1881807,0
303.0,UDAYA MUSIC,988113,1387819,0
304.0,UDAYA NEWS,1897177,4657226,0
305.0,UDAYA TV,13301752,16559735,2299485
306.0,UTV Action,0,3817256,0
307.0,UTV MOVIES,2100458,529920,0
308.0,V6 NEWS CHANNEL,3074444,14609418,544930
309.0,Vanita TV,14125,125615,0
310.0,Vendhar TV,149564,916069,0
311.0,VH1,33721,454319,359756
312.0,Vissa Television,12999,121567,0
313.0,VTV,5835089,9655424,174041
314.0,WE,0,1042132,0
315.0,WIN TV,0,797345,0
316.0,WION (v),0,0,505363
