S. No.,Agency Name,2017-18,2018-19,2019-20
106,SHINE.COM,"7 98,432","2 ,103,942","7 49,976"
107,SHOPCLUES.COM,-,"3 11,111","3 11,111"
108,SNAPDEAL.COM,-,-,-
109,SONYLIV.COM,-,-,"2 06,960"
110,SPEAKINGTREE.IN,-,"3 54,000","6 4,103"
111,TAXGURU.IN,"2 99,234","1 ,146,155","5 65,110"
112,THEHANSINDIA.COM,-,-,"6 3,026"
113,THEHEALTHSITE.COM,-,"6 71,893","6 3,026"
114,THEHEALTHSITE.COM,-,-,-
115,THEHINDU.COM,"2 ,743,403","6 ,995,028",-
116,THELALLANTOP.COM,-,-,-
117,THELOGICALINDIAN.COM,-,-,"6 3,026"
118,THENEWSMINUTE.COM,-,-,"5 48,137"
119,THESTATESMAN.COM,-,-,"6 3,026"
120,TIMESJOBS.COM,"5 0,000","1 ,348,834",-
121,TIMESNOWNEWS.COM,-,"3 11,111","2 06,960"
