,SL NO,NEWSPAPER NAME,LANGUAGE,PERIODICITY,PUBLICATION CITY,COMMITMENT AMOUNT,Unnamed: 0,Unnamed: 1
48,112.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),VIJAYAWADA,"625,338","794,527","107,410"
49,113.0,THE FOURTH VOICE,ENGLISH,DAILY(M),VIJAYAWADA,"65,457","527,282","447,322"
50,114.0,THE HANS INDIA,ENGLISH,DAILY(M),VIJAYAWADA,"724,030","614,059","177,378"
51,115.0,THE HINDU,ENGLISH,DAILY(M),VIJAYAWADA,"4,662,206","1,266,179","63,773"
52,116.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),VIJAYAWADA,"1,518,129","537,583","355,264"
53,117.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),VIJAYAWADA,"800,942","557,866","227,535"
54,118.0,UDAYA BHARATAM,TELUGU,DAILY(M),VIJAYAWADA,"270,941","580,732","77,264"
55,119.0,VIEWS OBSERVER,ENGLISH,DAILY(M),VIJAYAWADA,"190,282","147,190",0
56,120.0,VIJAYABHANU,TELUGU,DAILY(M),VIJAYAWADA,"891,053","401,351","4,541"
57,121.0,VISALAANDHRA,TELUGU,DAILY(E),VIJAYAWADA,"23,591","22,333","9,413"
58,122.0,ADHINETHA,TELUGU,MONTHLY,VISAKHAPATNAM,0,"80,199","45,243"
59,123.0,AKSHARA VIPLAVAM,TELUGU,DAILY(M),VISAKHAPATNAM,0,"142,678","62,099"
60,124.0,ANDHRA BHOOMI,TELUGU,DAILY(M),VISAKHAPATNAM,"58,086","179,066","40,715"
61,125.0,ANDHRA JYOTHI,TELUGU,DAILY(M),VISAKHAPATNAM,"3,258,941","2,233,509","841,462"
62,126.0,ANDHRA PRABHA,TELUGU,DAILY(M),VISAKHAPATNAM,"227,496","1,472,720","411,223"
63,127.0,CHAITANYA VAARADHI,TELUGU,DAILY(M),VISAKHAPATNAM,"48,834","33,205","29,407"
64,128.0,CITIZENS EVENING,ENGLISH,DAILY(E),VISAKHAPATNAM,0,"29,993",0
0,130.0,GRAMA DARSHINI,TELUGU,DAILY EXCEPTSUNDAY,VISAKHAPATNAM,"4,623","15,967",0
1,131.0,GREATER NEWS,TELUGU,DAILY EXCEPTSUNDAY,VISAKHAPATNAM,"19,554","118,387","6,377"
2,132.0,JANA JAGRUTHI,TELUGU,FORTNIGHTLY,VISAKHAPATNAM,0,"7,786","4,865"
3,133.0,JANAM JANA CHAITANYA MASAPATRIKA,TELUGU,MONTHLY,VISAKHAPATNAM,"51,712","22,006","19,032"
4,134.0,MANABHOOMI,TELUGU,DAILY(M),VISAKHAPATNAM,0,0,"13,371"
5,135.0,NETHAJI,TELUGU,DAILY(E),VISAKHAPATNAM,"37,913","62,670","29,271"
6,136.0,NETI ANDHRA,TELUGU,DAILY(M),VISAKHAPATNAM,"287,218","534,742","264,767"
7,137.0,NETI MANADESAM,TELUGU,DAILY(M),VISAKHAPATNAM,"61,441","37,071","9,883"
8,138.0,PRAJA PALANA,TELUGU,DAILY(M),VISAKHAPATNAM,0,"53,385","63,402"
9,139.0,PRAJASAKTI,TELUGU,DAILY(M),VISAKHAPATNAM,"522,179","632,579","334,969"
10,140.0,PRATAHKAALAM,TELUGU,DAILY(M),VISAKHAPATNAM,0,"72,970","84,094"
11,141.0,SAKSHI,TELUGU,DAILY(M),VISAKHAPATNAM,"4,730,964","3,850,763","1,981,279"
12,142.0,SAMCHALANA V.P.LEADER,TELUGU,DAILY(M),VISAKHAPATNAM,"386,160","356,074","186,065"
13,143.0,SANSKRUT BHASA,SANSKRIT,FORTNIGHTLY,VISAKHAPATNAM,0,"7,786","6,467"
14,144.0,SKYLINE,ENGLISH,DAILY(M),VISAKHAPATNAM,"104,371","59,096","17,708"
15,145.0,STANDARD POST,ENGLISH,DAILY(M),VISAKHAPATNAM,"346,662","144,229","69,937"
16,146.0,SUCCESS NEWS,TELUGU,MONTHLY,VISAKHAPATNAM,"4,955","40,473","9,179"
17,147.0,SUPADHA,TELUGU,DAILY(M),VISAKHAPATNAM,"4,623","32,918","16,985"
18,148.0,SWATANTRA VAARTHA,HINDI,DAILY(M),VISAKHAPATNAM,"229,635","428,510","52,494"
19,149.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),VISAKHAPATNAM,"438,698","342,116",0
20,150.0,THE HANS INDIA,ENGLISH,DAILY(M),VISAKHAPATNAM,"299,288","317,919","142,022"
21,151.0,THE HINDU,ENGLISH,DAILY(M),VISAKHAPATNAM,"4,411,580","3,391,664","88,461"
22,152.0,THE HINDU BUSINESS LINE,ENGLISH,DAILY EXCEPTSUNDAY,VISAKHAPATNAM,"1,076,835","91,580",0
23,153.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),VISAKHAPATNAM,"873,666","784,883","583,084"
24,154.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),VISAKHAPATNAM,0,"259,892","448,958"
25,155.0,VIEWS OBSERVER,ENGLISH,DAILY(M),VISAKHAPATNAM,"179,349","147,526","31,719"
26,156.0,VIJAYA BAVUTAA,TELUGU,FORTNIGHTLY,VISAKHAPATNAM,0,"23,425",0
27,157.0,VIJAYABHANU,TELUGU,DAILY(M),VISAKHAPATNAM,"686,404","1,436,921","311,980"
28,158.0,VISAKHA SAMACHARAM,TELUGU,DAILY(M),VISAKHAPATNAM,"375,353","544,183","109,228"
29,159.0,VISALAANDHRA (VIJAYAWADA),TELUGU,DAILY(E),VISAKHAPATNAM,"39,165","188,343","40,513"
30,160.0,BAKTHI SAMACHARAM,TELUGU,MONTHLY,VIZIANAGARAM,0,"5,211",0
31,161.0,GRAMINA VEDIKA,TELUGU,DAILY(M),VIZIANAGARAM,"354,144","284,095",0
32,162.0,NETI ANDHRA,TELUGU,DAILY(M),VIZIANAGARAM,"288,018","611,158","199,049"
33,163.0,ARUNACHAL FRONT,ENGLISH,DAILY(M),ITANAGAR,"2,590,146","4,295,739","2,063,040"
34,164.0,EASTERN SENTINEL,ENGLISH,DAILY(M),ITANAGAR,"4,282,998","2,071,491","1,116,556"
35,165.0,ECHO OF ARUNACHAL,ENGLISH,DAILY(M),ITANAGAR,"1,580,593","3,562,822","1,353,917"
36,166.0,INDEPENDENT REVIEW,ENGLISH,DAILY(M),ITANAGAR,"1,923,466","849,361","422,692"
37,167.0,KHABAR MORCHA,HINDI,DAILY(M),ITANAGAR,"962,086","621,163","18,203"
38,168.0,THE ARUNACHAL PIONEER,ENGLISH,DAILY(M),ITANAGAR,"1,850,641","1,624,850","130,015"
39,169.0,THE ARUNACHAL TIMES,ENGLISH,DAILY(M),ITANAGAR,"475,616","2,045,256","946,165"
40,170.0,THE DAWNLIT POST,ENGLISH,DAILY(M),ITANAGAR,"3,179,830","2,078,805","840,327"
41,171.0,SANSEYARI BODOLANDENGKHONG,BODO,DAILY(M),BIJNI,"214,064","1,098,876","453,969"
42,172.0,THE BODOLAND EXPRESS,ENGLISH,DAILY(M),BIJNI,"158,084","1,046,675","583,968"
43,173.0,ASOMIYA PRATIDIN,ASSAMESE,DAILY(M),BONGAIGAON,"642,187","645,876","173,394"
44,174.0,ASOM SPANDAN,ASSAMESE,WEEKLY,DIBRUGARH,"3,635","7,786","29,511"
45,175.0,ASOMIYA PRATIDIN,ASSAMESE,DAILY(M),DIBRUGARH,"3,050,369","1,713,517","485,152"
46,176.0,DAINIK JUGASANKHA,BENGALI,DAILY(M),DIBRUGARH,"691,670",0,0
47,177.0,SOLANGDO,ASSAMESE,DAILY(M),DIPHU,0,0,"145,680"
48,178.0,THE HILLS TIMES,ENGLISH,DAILY(M),DIPHU,"990,510","1,228,544","236,696"
49,179.0,THEKAR,KARBI,DAILY(M),DIPHU,"668,204","304,313","78,777"
50,180.0,AALOK PRAVANJYAN,ASSAMESE,BI-WEEKLY,GUWAHATI,0,"9,344","11,803"
51,181.0,AAMI ASOMOR JANAGAN,ASSAMESE,DAILY(M),GUWAHATI,"1,217,368","1,101,039","357,338"
52,182.0,AMAR ASOM,ASSAMESE,DAILY(M),GUWAHATI,"1,337,148","1,508,776","671,474"
53,183.0,ANDAZ E BAYAN,URDU,DAILY(M),GUWAHATI,"1,162,043","1,337,545","184,609"
54,184.0,ASOMIYA KHABAR,ASSAMESE,DAILY(M),GUWAHATI,"2,912,378","2,108,629","646,883"
55,185.0,ASOMIYA PRATIDIN,ASSAMESE,DAILY(M),GUWAHATI,"10,190,584","4,017,482","823,010"
56,186.0,ASSAM TRIBUNE,ENGLISH,DAILY(M),GUWAHATI,"9,461,958","4,778,031","2,016,555"
57,187.0,BANGLA MORCHA,HINDI,DAILY(M),GUWAHATI,"675,981","819,770","144,181"
58,188.0,BATORI KAKAT,ASSAMESE,DAILY(M),GUWAHATI,"104,745","793,630","111,234"
59,189.0,DAINANDIN BARTA,ASSAMESE,DAILY(M),GUWAHATI,"1,371,085","777,482","325,420"
0,191.0,DAINIK JANAMBHUMI,ASSAMESE,DAILY(M),GUWAHATI,"235,021","314,116","122,498"
1,192.0,DAINIK JUGASANKHA,BENGALI,DAILY(M),GUWAHATI,"741,762","1,871,733","770,763"
2,193.0,DAINIK PURVODAY,HINDI,DAILY(M),GUWAHATI,0,"126,600","110,943"
3,194.0,EASTERN CHRONICLE,ENGLISH,DAILY(M),GUWAHATI,"770,766","1,531,267","839,285"
4,195.0,ECLECTIC NORTHEAST,ENGLISH,MONTHLY,GUWAHATI,"107,220","250,731","92,808"
5,196.0,GANA ADHIKAR,ASSAMESE,DAILY(M),GUWAHATI,"907,750","1,005,571","302,165"
6,197.0,ICHEMMA,MANIPURI,MONTHLY,GUWAHATI,0,"104,018","17,348"
7,198.0,NISHPAKSH SAMACHAR JYOTI,HINDI,DAILY(M),GUWAHATI,0,"112,746","95,409"
8,199.0,NIYOMIYA BARTA,ASSAMESE,DAILY(M),GUWAHATI,"3,607,826","2,852,651","1,498,703"
9,200.0,NORTH EAST TIMES,ENGLISH,DAILY(M),GUWAHATI,"205,670","263,451","207,393"
10,201.0,PRATA KHABAR,HINDI,DAILY(M),GUWAHATI,"1,337,721","659,559","86,423"
11,202.0,PURVANCHAL PRAHARI,HINDI,DAILY(M),GUWAHATI,"625,240","849,633","288,190"
12,203.0,SENTINEL,HINDI,DAILY(M),GUWAHATI,"1,008,220","1,036,216","179,628"
13,204.0,SENTINEL,ENGLISH,DAILY(M),GUWAHATI,"13,345,298","10,367,773","4,256,359"
14,205.0,THE ASSAM POST,ENGLISH,DAILY(M),GUWAHATI,"76,617",0,0
15,206.0,THE TELEGRAPH (KOLKATA),ENGLISH,DAILY(M),GUWAHATI,"1,371,625","618,391",0
16,207.0,AMAR ASOM,ASSAMESE,DAILY(M),JORHAT,"927,310","1,412,908","837,831"
17,208.0,ASOMIYA KHABHAR,ASSAMESE,DAILY(M),JORHAT,"954,098","686,941","314,443"
18,209.0,DAINIK JANAMBHOOMI,ASSAMESE,DAILY(M),JORHAT,"1,177,534","1,021,271","342,482"
19,210.0,DAINIK PURVODAY,HINDI,DAILY(M),JORHAT,"13,906","347,005",0
20,211.0,PURVANCHAL PRAHARI,HINDI,DAILY(M),JORHAT,0,"218,297","52,614"
21,212.0,THE JANAMBHUMI,ASSAMESE,WEEKLY,JORHAT,0,"42,958","13,772"
22,213.0,CHALLENGER BARTA,ENGLISH,WEEKLY,KARIMGANJ,0,"5,946",0
23,214.0,NABABARTA PRASANGA,BENGALI,DAILY(M),KARIMGANJ,"588,882","2,480,896","876,017"
24,215.0,SACHETAN,BENGALI,WEEKLY,KARIMGANJ,0,"5,616","7,091"
25,216.0,BODOSA,BODO,DAILY(M),KOKRAJHAR,0,"532,133","394,720"
26,217.0,HAYENNI RADAB,BODO,DAILY(M),KOKRAJHAR,0,"372,103","223,549"
27,218.0,ASOMIYA PRATIDIN,ASSAMESE,DAILY(M),LAKHIMPUR,"499,002","451,431","146,569"
28,219.0,PURVANCHAL PRAHARI,HINDI,DAILY(M),LAKHIMPUR,0,"164,113","147,715"
29,220.0,AMAR ASOM,ASSAMESE,DAILY(M),NORTH LAKHIMPUR,0,"168,640","143,676"
30,221.0,ABICHAR,BENGALI,WEEKLY,SILCHAR,0,"6,496","13,077"
31,222.0,AMAR UTTAR PURBANCHAL,BENGALI,FORTNIGHTLY,SILCHAR,0,"7,388","13,077"
32,223.0,DAINIK ABICHAR,BENGALI,DAILY(M),SILCHAR,"486,102","1,929,630","1,155,142"
33,224.0,EASTERN CHRONICLE,ENGLISH,DAILY(M),SILCHAR,"2,594,340","2,642,414","699,757"
34,225.0,GATI,BENGALI,DAILY(M),SILCHAR,"91,865",0,0
35,226.0,JUGASANKHA,BENGALI,DAILY(M),SILCHAR,"7,643,113","2,854,324","1,038,042"
36,227.0,PRANTAJYOTI DAINIK,BENGALI,DAILY(M),SILCHAR,"321,129","815,361","336,937"
37,228.0,SAMAYIK PRASANGA,BENGALI,DAILY(M),SILCHAR,"1,242,778","2,465,630","1,120,812"
38,229.0,SIMANTER PRAHARI,BENGALI,TRI-WEEKLY,SILCHAR,0,"5,732","11,803"
39,230.0,KHABAR PRABAH,ASSAMESE,DAILY(M),SONITPUR,"452,683","254,332",0
40,231.0,HAMRO PRAJASHAKTI,NEPALI,DAILY(M),TEZPUR,"557,554","1,425,304","310,339"
41,232.0,AKELA,HINDI,WEEKLY,TINSUKIA,0,"3,893","9,837"
42,233.0,THE DAINIK JANAMBHUMI,ASSAMESE,DAILY(M),TINSUKIA,"548,091","503,384","254,482"
43,234.0,NAV BIHAR TIMES,HINDI,DAILY(M),AURANGABAD,"658,776","2,490,826","1,023,241"
44,235.0,SON VARSHA VANI,HINDI,DAILY(M),AURANGABAD,"774,035","1,811,701","764,356"
45,236.0,SAFA TIMES,URDU,DAILY(M),BETIYA,"537,274","283,092","45,630"
46,237.0,ANG BHARAT,HINDI,DAILY(M),BHAGALPUR,"156,614","1,012,433","1,239,433"
47,238.0,DAINIK BHASKAR,HINDI,DAILY(M),BHAGALPUR,0,"1,335,838","934,553"
48,239.0,DAINIK JAGRAN,HINDI,DAILY(M),BHAGALPUR,"10,393,316","6,004,235","2,067,732"
49,240.0,DESH BIDESH,URDU,DAILY(M),BHAGALPUR,"65,108","13,156","9,413"
50,241.0,HINDUSTAN,HINDI,DAILY(M),BHAGALPUR,"7,236,301","5,534,096","1,362,027"
51,242.0,MISSILE EXPRESS,URDU,DAILY(M),BHAGALPUR,"47,202","93,409","6,143"
52,243.0,NAI BAAT,HINDI,DAILY(M),BHAGALPUR,"103,200","7,383",0
53,244.0,PRABHAT KHABAR,HINDI,DAILY(M),BHAGALPUR,"3,293,058","3,070,011","968,434"
54,245.0,PRATAH SANDESH,HINDI,DAILY(M),DARBHANGA,"846,757","2,052,044","430,243"
55,246.0,DAINIK JAGRAN,HINDI,DAILY(M),GAYA,"987,315","1,510,792","580,989"
56,247.0,HINDUSTAN,HINDI,DAILY(M),GAYA,"1,567,350","1,522,130","439,874"
57,248.0,PRABHAT KHABAR,HINDI,DAILY(M),GAYA,"2,256,535","2,104,618","693,616"
58,249.0,ANUGAMINI,HINDI,DAILY(M),HAJIPUR,0,"222,728","14,334"
59,250.0,DAINIK BHASKAR,HINDI,DAILY(M),MUZAFFARPUR,"81,925","1,452,262","1,147,782"
60,251.0,DAINIK JAGRAN,HINDI,DAILY(M),MUZAFFARPUR,"7,078,457","6,795,244","2,385,243"
61,252.0,GARAM HAWA,URDU,DAILY(M),MUZAFFARPUR,"88,333","712,834","197,306"
62,253.0,HAKIKAT TIMES,URDU,DAILY(M),MUZAFFARPUR,"502,866","1,240,721","256,542"
