,S. No.,Agency Name,2017-18,2018-19,2019-20
17,99,QUIKR.COM,"4 ,252,544","1 2,746,552","2 ,472,091"
18,100,RAFTAAR.IN,"7 6,923","1 ,437,931","2 86,505"
19,101,READWHERE.COM,-,-,"6 3,026"
20,102,REDIFF.COM,"5 ,383,061","1 6,507,452","2 ,679,051"
21,103,REPUBLICWORLD.COM,-,-,"1 48,809"
22,104,SANDESH.COM,-,-,"1 79,692"
23,105,SCOOPWHOOP.COM,-,-,"6 4,103"
24,106,SHINE.COM,"7 98,432","2 ,103,942","7 49,976"
25,107,SHOPCLUES.COM,-,"3 11,111","3 11,111"
26,108,SNAPDEAL.COM,-,-,-
27,109,SONYLIV.COM,-,-,"2 06,960"
28,110,SPEAKINGTREE.IN,-,"3 54,000","6 4,103"
29,111,TAXGURU.IN,"2 99,234","1 ,146,155","5 65,110"
30,112,THEHANSINDIA.COM,-,-,"6 3,026"
31,113,THEHEALTHSITE.COM,-,"6 71,893","6 3,026"
32,114,THEHEALTHSITE.COM,-,-,-
33,115,THEHINDU.COM,"2 ,743,403","6 ,995,028",-
34,116,THELALLANTOP.COM,-,-,-
35,117,THELOGICALINDIAN.COM,-,-,"6 3,026"
36,118,THENEWSMINUTE.COM,-,-,"5 48,137"
37,119,THESTATESMAN.COM,-,-,"6 3,026"
38,120,TIMESJOBS.COM,"5 0,000","1 ,348,834",-
39,121,TIMESNOWNEWS.COM,-,"3 11,111","2 06,960"
