,TELEVISION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
45,45.0,BULAND NEWS SAMACHAR PLUS,13531837,5675787,518048
46,46.0,CAPTAIN TV,0,1620126,2916214
47,47.0,CARE WORLD TV,1086851,0,0
48,48.0,CARTOON NETWORK,1794794,2780590,0
49,49.0,CHANNEL 2,200102,0,0
50,50.0,CHANNEL V,181746,0,0
51,51.0,Chardikla Time TV,19320190,25384185,4895480
0,53.0,CHUTTI TV,0,148435,0
1,54.0,CNBC BAZAAR,1291680,3640804,0
2,55.0,CNBC TV 18,1393087,3948331,1511545
3,56.0,CNN NEWS 18,5829786,5415586,4323407
4,57.0,Colors,36824929,57816163,48456883
5,58.0,COLORS BANGLA,71600,7423465,1797138
6,59.0,COLORS GUJARATI,1667823,3135018,835040
7,60.0,COLORS KANNADA,1668849,19000449,781710
8,61.0,COLORS MARATHI,2378036,11275697,4363928
9,62.0,COLORS ORIYA,46813,3682722,0
10,63.0,CVR Health,17332,0,0
11,64.0,CVR News,63295,162185,0
12,65.0,DABANGG,9890724,9588682,1289565
13,66.0,DANGAL,25650861,45749132,12041760
14,67.0,DHAMAAL,2442483,0,0
15,68.0,DHOOM MUSIC,0,723016,0
16,69.0,Dilli Aaj Tak,897458,2725937,1272520
17,70.0,DISCOVERY,1719015,8515968,1133988
18,71.0,DISCOVERY KIDS,0,690852,0
19,72.0,DISCOVERY SCIENCE,99002,88989,0
20,73.0,DISCOVERY TRAVEL & LIVING,0,158252,0
21,74.0,DISNEY CHANNEL,296779,0,0
22,75.0,DIVYA,863783,0,0
23,76.0,DY 365,10620115,12508624,250604
24,77.0,E - 24,458451,3544281,274251
25,78.0,ENTER 10 TELEVISION,13778493,34789435,7456359
26,79.0,EPIC,0,0,645580
27,80.0,ET NOW,2114165,852036,0
28,81.0,ETC - HINDI,0,2941977,0
29,82.0,ETV  TELUGU,41367913,48248573,2460049
30,83.0,ETV ABHIRUCHI,260494,491494,0
31,84.0,ETV Andhra Pradesh,15148209,5872329,0
32,85.0,ETV CINEMA,3129381,2537500,0
33,86.0,ETV LIFE,845833,1381392,0
34,87.0,ETV PLUS,728245,3955242,0
35,88.0,ETV Telangana,7054608,11282869,1758484
36,89.0,FAKT MARATHI,7935624,8469222,109046
37,90.0,FILMY,461238,222454,0
38,91.0,First India Rajasthan,0,1758881,2188601
39,92.0,FLOWER TV,2896886,10791685,1806324
40,93.0,GEMINI MOVIES,2624577,7323852,0
41,94.0,GEMINI MUSIC,1032802,2489329,0
42,95.0,GEMINI NEWS,78885,1296605,0
43,96.0,GEMINI TV,25386002,20013960,0
44,97.0,GOODTIMES,60548,0,0
45,98.0,Gulistan TV,222566,4394772,3872951
46,99.0,Hindi Khabar,0,1051444,0
47,100.0,History TV 18,0,2119970,2852189
48,101.0,HM TV,3748805,1070389,0
49,102.0,Housefull Movies,3863514,8022028,777830
50,103.0,i News,0,835258,0
51,104.0,IBC 24,13668520,13310943,2227832
0,106.0,India News,39898266,61181728,8926738
1,107.0,INDIA NEWS HARYANA,9047320,8180392,1990516
2,108.0,INDIA NEWS MP/CG,6748258,4989760,523237
3,109.0,India News Punjab,0,311898,1277477
4,110.0,INDIA NEWS RAJASTHAN,10457901,12646707,2085324
5,111.0,INDIA NEWS UTTAR PRADESH AND UTTRAKHAND,7949821,3687433,807216
6,112.0,INDIA TODAY,6047357,6189465,3692297
7,113.0,INDIA TV,19854531,28052876,22763179
8,114.0,INDIA TV,0,536532,0
9,115.0,INDIA VOICE,0,184030,0
10,116.0,Isaiaruyi,0,1783397,0
11,117.0,Jai Maharastra,0,1328302,0
12,118.0,JAINTV,303436,0,0
13,119.0,JAN TV,2251199,0,223615
14,120.0,JANAM TV,0,2644137,578842
15,121.0,JANASRIKANNADA,921975,0,0
16,122.0,janta tv,10904428,13181076,2565480
17,123.0,JAYAPLUS,60175,0,0
18,124.0,JK Channel,10216261,11875934,4303813
19,125.0,Jonack,8614334,4536339,645219
20,126.0,K News India,8750688,890352,173394
21,127.0,K TV,1901810,2412280,0
22,128.0,Kairali,1343939,1915273,323156
23,129.0,Kairali News,493521,4764650,0
24,130.0,Kalaignar TV,878510,4654755,0
25,131.0,KALINGA TV,7460647,4894838,411684
26,132.0,KANAK TV,6212778,16526511,2889088
27,133.0,KAPPA TV,305714,475666,0
28,134.0,KASHISHNEWS,7049891,5880128,145459
29,135.0,KHABAR FAST,0,1039433,1156355
30,136.0,Khushboo Bangla,0,0,125911
31,137.0,KOCHU TV,0,129252,0
32,138.0,KOLKATA TV,11868019,11413509,16918
33,139.0,KUSHI TV,0,145716,0
34,140.0,Living India News,11719457,8793427,1936738
35,141.0,LOKSABHA TV,7271220,3049321,0
36,142.0,MAA GOLD,71536,871490,0
37,143.0,MAA MOVIES,0,2198482,0
38,144.0,MAA MUSIC,0,490320,459421
39,145.0,MAA TV,743952,29211542,1483579
40,146.0,MAHA MOVIES,12680533,23334069,2971908
41,147.0,MAI BOLI,6850856,5620375,0
42,148.0,Makkal TV,2672778,1756090,616456
43,149.0,Manorama News,14678263,19873580,2370646
44,150.0,MANORANJAN MOVIE,3601128,8184888,123872
45,151.0,Manoranjan TV,3733120,8607670,1053865
46,152.0,Mantavya News,0,0,501781
47,153.0,MASTIII,8179633,24609258,4505146
48,154.0,MATHRUBHUMI NEWS,6146194,11502318,809622
49,155.0,MAZHAVIL MANORAMA,6800567,7300098,0
50,156.0,MBC TV,0,4121333,0
51,157.0,MEDIA ONE,1071759,4951022,0
0,159.0,MEGA MUSIQ,0,598349,0
1,160.0,Mega TV,127770,975748,0
2,161.0,MH One,85391,7088164,1442486
3,162.0,MH One Prime,1521390,11762824,2721920
4,163.0,MK TV,85532,709125,0
5,164.0,MOON TV,403617,798832,0
6,165.0,Movies Now,141278,381971,491281
7,166.0,MTV,220803,811991,0
8,167.0,MUNSIF TV,1484648,331110,0
9,168.0,Music F Fatfati,751616,1151941,0
10,169.0,MUSIC INDIA,293829,224317,0
11,170.0,N TV,21340523,38155643,1589025
12,171.0,NDTV 24X7,79438,1105861,1597354
13,172.0,NDTV India,155222,0,0
14,173.0,NDTV PROFIT,76974,0,0
15,174.0,News 1 India,0,0,217158
16,175.0,News 18  Assam / North East (News),0,615535,720726
17,176.0,News 18 Bangla,4719269,15519452,1468076
18,177.0,News 18 Bihar/Jharkhand,5096290,16744005,2546567
19,178.0,News 18 Gujarati,4806194,13154546,881425
20,179.0,News 18 India,23073360,35265402,27465253
21,180.0,News 18 Kannada,3663933,15280873,873585
22,181.0,News 18 Kerala (News),0,222595,30586
23,182.0,News 18 Lokmat,13957508,21400797,2632167
24,183.0,News 18 MP/Chhattisgarh,4883977,14846684,2469662
25,184.0,News 18 Odia,2190866,11100634,1017021
26,185.0,News 18 Punjab/Haryana/Himachal Pradesh,3829868,12627154,1034593
27,186.0,News 18 Rajasthan,6757811,16654423,4202814
28,187.0,News 18 Tamil Nadu (News),0,562664,315775
29,188.0,News 18 UP/Uttarakhand,5019566,16356140,3270054
30,189.0,News 18 Urdu,1638198,12198821,2024363
31,190.0,News 24,29087885,16323266,8668115
32,191.0,News 7,14263776,14799053,1437813
33,192.0,News 7 Tamil,0,0,775083
34,193.0,NEWS 9,10351047,3173286,0
35,194.0,News Live,15295070,18944078,2222939
36,195.0,NEWS NATION,34437594,69188735,13311860
37,196.0,News state Madhya Pradesh/ chhattisgarh,0,0,659651
38,197.0,NEWS STATE UTTAR PRADESH/UTTRAKHAND,16579580,18803748,4024887
39,198.0,NEWS TIME AASAM,3540069,4014100,0
40,199.0,NEWS TIME BANGLA,6140016,7795803,0
41,200.0,NEWS WORLD INDIA,13665345,11643347,1362853
42,201.0,News X,12122328,13302711,2102746
43,202.0,NIKELODEON,4361586,2488487,0
