SL NO,NEWSPAPER NAME,LANGUAGE,PERIODICITY,PUBLICATION CITY,2017-2018,2018-2019,2019-2020
1.0,ARTHIK LIPI,BENGALI,DAILY(M),PORT BLAIR,"1,211,750","624,989","316,512"
2.0,INFO INDIA,HINDI,DAILY(M),PORT BLAIR,"673,676","667,265","66,545"
3.0,SANMARG,HINDI,DAILY(M),PORT BLAIR,0,"272,756","165,675"
4.0,THE ANDAMAN EXPRESS,ENGLISH,DAILY(M),PORT BLAIR,"1,042,171","485,418","168,674"
5.0,THE ECHO OF INDIA,ENGLISH,DAILY(M),PORT BLAIR,"2,660,578","2,016,642","1,040,729"
6.0,THE PHOENIX POST,ENGLISH,DAILY(M),PORT BLAIR,0,"179,084","9,010"
7.0,TODAY TIMES,ENGLISH,DAILY(M),PORT BLAIR,"654,122","1,059,438","510,314"
8.0,ARYAN AGE,ENGLISH,DAILY(M),PORTBLAIR,0,0,"48,692"
9.0,BANGLA MORCHA,HINDI,DAILY(M),PORTBLAIR,0,"382,933","158,304"
10.0,GRAMEENA JANA JEEVANATEJAMGODAVARI,TELUGU,DAILY(M),AMALAPURAM,0,0,"18,189"
11.0,ANDHRA BHOOMI,TELUGU,DAILY(M),ANANTHAPUR,"301,536","302,022","76,240"
12.0,ANDHRA JYOTHI,TELUGU,DAILY(M),ANANTHAPUR,"705,794","1,361,193","293,347"
13.0,ANDHRA PRABHA,TELUGU,DAILY(M),ANANTHAPUR,"538,121","539,508","53,493"
14.0,ASHRAYA,TELUGU,DAILY(M),ANANTHAPUR,"70,229","54,503","9,757"
15.0,DECCAN CHRONICLE,ENGLISH,DAILY(M),ANANTHAPUR,"447,761","893,252","187,112"
16.0,RAYALASEEMA SAMAYAM,TELUGU,DAILY(M),ANANTHAPUR,"274,016","307,128","146,139"
17.0,SAKSHI,TELUGU,DAILY(M),ANANTHAPUR,"904,597","1,259,127","199,045"
18.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),ANANTHAPUR,"164,810","305,592","232,594"
19.0,VINIYOGA DHARSINI,TELUGU,MONTHLY,ANANTHAPUR,0,"16,474",0
20.0,CITY TIMES,TELUGU,DAILY(M),CHITTOOR,"26,584","164,680",0
21.0,MUTHYALASARAALU,TELUGU,MONTHLY,CHITTOOR,0,"7,295",0
22.0,ANDHRA DAIRY,TELUGU,DAILY(E),ELURU,"112,408","111,747","42,668"
23.0,GOPI KRISHNA,TELUGU,DAILY(M),ELURU,"396,804","882,600","120,986"
